habitat	phylum	n_in_habitat	phac_in_habitat	pct_in_habitat	n_outside_habitat	phac_outside_habitat	pct_outside_habitat	fisher_or	fisher_p	low_n_flag
Brackish sea water	Desulfobacterota	28	6	21.4	1815	306	16.9	1.345	0.456	
Brackish sea water	Iainarchaeota	1	0	0.0	14	0	0.0			yes
Brackish sea water	Myxococcota	28	21	75.0	807	309	38.3	4.835	0.000128	
Brackish sea water	Latescibacterota	7	0	0.0	796	3	0.4	0.000	1	yes
Brackish sea water	Myxococcota_A	1	0	0.0	435	6	1.4			yes
Brackish sea water	Nanobdellota	2	0	0.0	254	1	0.4	0.000	1	yes
Brackish sea water	Patescibacteriota	5	0	0.0	634	1	0.2	0.000	1	yes
Sea ice	Thermoproteota	1	0	0.0	4311	1141	26.5			yes
Sea ice	Planctomycetota	11	0	0.0	5671	57	1.0	0.000	1	yes
Sea ice	Actinomycetota	29	2	6.9	13354	497	3.7	1.916	0.295	
Sea ice	SAR324	3	0	0.0	2491	534	21.4	0.000	1	yes
Sea ice	Verrucomicrobiota	26	0	0.0	6849	18	0.3	0.000	1	
Sea ice	Nitrospinota	3	0	0.0	863	5	0.6	0.000	1	yes
Sea ice	Pseudomonadota	442	184	41.6	100313	23340	23.3	2.352	2.04e-17	
Sea ice	Bdellovibrionota	9	0	0.0	486	29	6.0	0.000	1	yes
Sea ice	Bacteroidota	202	2	1.0	37132	82	0.2	4.518	0.0761	
Sea ice	Myxococcota	8	3	37.5	827	327	39.5	0.917	1	yes
Sea ice	Myxococcota_A	1	0	0.0	435	6	1.4			yes
Sea ice	Patescibacteriota	2	0	0.0	637	1	0.2	0.000	1	yes
