cluster_id	n_genomes	pct_phaG	pct_phaJ	n_neither	n_beta_oxidation_only_J	n_fas_linked_only_G	n_both_GJ	top_phylum	top_phylum_pct	cmh_or_phaG	cmh_p_phaG	n_strata_used
OMDBv2.0_AA_G_NR100_000040368674	95	0.00	93.68	6	89	0	0	Pseudomonadota	100.0	0.000	0.042	1
OMDBv2.0_AA_G_NR100_000148477597	37	0.00	54.05	17	20	0	0	Pseudomonadota	100.0	0.000	0.205	1
OMDBv2.0_AA_G_NR100_000013576874	353	0.00	69.41	108	245	0	0	SAR324	98.9	0.000	0.131	4
OMDBv2.0_AA_G_NR100_000001271994	95	0.00	5.26	90	5	0	0	Thermoproteota	98.9	0.000	0.835	2
OMDBv2.0_AA_G_NR100_000020866026	226	0.00	44.69	125	101	0	0	Pseudomonadota	100.0	0.000	0.00162	1
OMDBv2.0_AA_G_NR100_000048196933	595	0.00	61.51	229	366	0	0	Pseudomonadota	99.7	0.000	1.73e-07	2
OMDBv2.0_AA_G_NR100_000174424599	270	0.00	60.37	107	163	0	0	Pseudomonadota	100.0	0.000	0.000559	1
OMDBv2.0_AA_G_NR100_000162064731	106	0.00	69.81	32	74	0	0	Pseudomonadota	100.0	0.000	0.0316	1
OMDBv2.0_AA_G_NR100_000078715980	54	0.00	5.56	51	3	0	0	Pseudomonadota	100.0	0.000	0.126	1
OMDBv2.0_AA_G_NR100_000139954202	46	0.00	95.65	2	44	0	0	Pseudomonadota	100.0	0.000	0.158	1
OMDBv2.0_AA_G_NR100_000147535641	31	0.00	87.10	4	27	0	0	Pseudomonadota	100.0	0.000	0.246	1
OMDBv2.0_AA_G_NR100_000207072862	160	0.00	0.00	160	0	0	0	Pseudomonadota	98.8	0.000	0.0068	3
OMDBv2.0_AA_G_NR100_000073537408	107	0.00	95.33	5	102	0	0	Acidobacteriota	99.1	0.000	0.962	2
OMDBv2.0_AA_G_NR100_000115272770	41	0.00	78.05	9	32	0	0	Pseudomonadota	100.0	0.000	0.182	1
OMDBv2.0_AA_G_NR100_000134826249	76	0.00	71.05	22	54	0	0	Pseudomonadota	100.0	0.000	0.0691	1
OMDBv2.0_AA_G_NR100_000001621431	90	0.00	0.00	90	0	0	0	Pseudomonadota	100.0	0.000	0.0478	1
OMDBv2.0_AA_G_NR100_000042505200	70	0.00	40.00	42	28	0	0	Pseudomonadota	100.0	0.000	0.0812	1
OMDBv2.0_AA_G_NR100_000020388201	236	0.00	57.63	100	136	0	0	Pseudomonadota	100.0	0.000	0.00127	1
OMDBv2.0_AA_G_NR100_000032061809	42	0.00	40.48	25	17	0	0	Pseudomonadota	100.0	0.000	0.177	1
OMDBv2.0_AA_G_NR100_000062556993	33	0.00	81.82	6	27	0	0	Pseudomonadota	100.0	0.000	0.232	1
OMDBv2.0_AA_G_NR100_000245052759	117	0.00	73.50	31	86	0	0	Pseudomonadota	100.0	0.000	0.0239	1
OMDBv2.0_AA_G_NR100_000070519940	42	0.00	97.62	1	41	0	0	Pseudomonadota	100.0	0.000	0.177	1
OMDBv2.0_AA_G_NR100_000164463162	34	0.00	41.18	20	14	0	0	Pseudomonadota	100.0	0.000	0.225	1
OMDBv2.0_AA_G_NR100_000123628237	69	0.00	98.55	1	68	0	0	Pseudomonadota	100.0	0.000	0.0834	1
OMDBv2.0_AA_G_NR100_000027434110	46	0.00	71.74	13	33	0	0	Vulcanimicrobiota	100.0			0
OMDBv2.0_AA_G_NR100_000013537294	33	0.00	0.00	33	0	0	0	Pseudomonadota	90.9	0.000	0.254	3
OMDBv2.0_AA_G_NR100_000174886851	33	0.00	63.64	12	21	0	0	Pseudomonadota	100.0	0.000	0.232	1
OMDBv2.0_AA_G_NR100_000028109228	88	0.00	65.91	30	58	0	0	SAR324	96.6	0.000	0.561	4
OMDBv2.0_AA_G_NR100_000109952267	133	0.00	89.47	14	119	0	0	Chloroflexota	99.2	0.000	0.49	2
OMDBv2.0_AA_G_NR100_000013377200	50	0.00	52.00	24	26	0	0	Pseudomonadota	100.0	0.000	0.141	1
OMDBv2.0_AA_G_NR100_000097792923	45	0.00	100.00	0	45	0	0	Desulfobacterota_B	100.0	0.000	0.386	1
OMDBv2.0_AA_G_NR100_000141385272	76	0.00	11.84	67	9	0	0	Pseudomonadota	100.0	0.000	0.0691	1
OMDBv2.0_AA_G_NR100_000107220471	213	0.00	77.46	48	165	0	0	Pseudomonadota	100.0	0.000	0.00223	1
OMDBv2.0_AA_G_NR100_000213969157	118	0.00	99.15	1	117	0	0	Acidobacteriota	99.2			1
OMDBv2.0_AA_G_NR100_000001983954	53	0.00	39.62	32	21	0	0	Pseudomonadota	100.0	0.000	0.129	1
OMDBv2.0_AA_G_NR100_000072299793	100	0.00	98.00	2	98	0	0	Actinomycetota	98.0	0.000	0.00109	3
OMDBv2.0_AA_G_NR100_000020962949	41	0.00	43.90	23	18	0	0	Pseudomonadota	100.0	0.000	0.182	1
OMDBv2.0_AA_G_NR100_000013369699	60	0.00	6.67	56	4	0	0	Pseudomonadota	100.0	0.000	0.107	1
OMDBv2.0_AA_G_NR100_000041317148	33	0.00	93.94	2	31	0	0	Pseudomonadota	100.0	0.000	0.232	1
OMDBv2.0_AA_G_NR100_000013414939	58	0.00	81.03	11	47	0	0	Pseudomonadota	100.0	0.000	0.113	1
OMDBv2.0_AA_G_NR100_000166647879	36	0.00	41.67	21	15	0	0	Pseudomonadota	100.0	0.000	0.212	1
OMDBv2.0_AA_G_NR100_000244593942	49	0.00	87.76	6	43	0	0	Pseudomonadota	100.0	0.000	0.145	1
OMDBv2.0_AA_G_NR100_000165939964	31	0.00	16.13	26	5	0	0	Pseudomonadota	100.0	0.000	0.246	1
OMDBv2.0_AA_G_NR100_000210692352	33	0.00	87.88	4	29	0	0	Pseudomonadota	100.0	0.000	0.232	1
OMDBv2.0_AA_G_NR100_000113252641	36	0.00	77.78	8	28	0	0	Pseudomonadota	100.0	0.000	0.212	1
OMDBv2.0_AA_G_NR100_000124706857	43	0.00	88.37	5	38	0	0	Pseudomonadota	100.0	0.000	0.172	1
OMDBv2.0_AA_G_NR100_000046438091	39	0.00	97.44	1	38	0	0	SAR324	100.0	0.000	0.769	1
OMDBv2.0_AA_G_NR100_000141998000	31	0.00	77.42	7	24	0	0	Pseudomonadota	100.0	0.000	0.246	1
OMDBv2.0_AA_G_NR100_000138090542	59	0.00	0.00	59	0	0	0	Cyanobacteriota	100.0			1
OMDBv2.0_AA_G_NR100_000132176063	40	0.00	85.00	6	34	0	0	Pseudomonadota	100.0	0.000	0.188	1
OMDBv2.0_AA_G_NR100_000228738522	32	0.00	90.62	3	29	0	0	Pseudomonadota	100.0	0.000	0.239	1
